# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here

Mn|Minimal
DeepHouse|Deep House
Delta Blues|Delta Blues
Disco|Disco
Disco Punk|Disco Punk
DnB|DnB
Doom Metal|Doom Metal
Dowentempo|Downtempo
Downbeat|Downbeat
Downtempo|Downtempo
Downtempo, Tribal, New Age|Downtempo;Tribal;New Age
Dream Pop|Dream Pop;Dreampop
Dreampop|Dream Pop;Dreampop
Drone|Drone
Drone Metal|Drone Metal
Drum|Drum & Bass;DnB;Drum And Bass
Drum And Bass|Drum & Bass;DnB;Drum And Bass
Drum & Bass|Drum & Bass;DnB;Drum And Bass
Drum n Bass|Drum & Bass;DnB;Drum And Bass
Dub|Dub
Dub Disco|Dub Disco
Dub House|Dub House
Dub Poetry|Dub Poetry
Dub Reggae|Dub Reggae
Dub Techno|Dub Techno
DubTechno|Dub Techno
Dubstep|Dubstep
Dungeon Synth|Dungeon Synth
Early Electronic|Early Electronic;Electronic
East Coast Blues|East Coast Blues
Easy Listening|Easy Listening
EBM|EBM
Eclectic|Eclectic
Electric Blues|Electric Blues
Electro|Electro
Electro-Acoustic|Electro-Acoustic
Electro Acoustic|Electro-Acoustic
Electro House|Electro House
Electro-Pop|Electro-Pop;Electropop
Electro Rock|Electro Rock
Electro Swing|Electro Swing
Electroclash|Electroclash
Electronic|Electronic
ELECTRONIC|Electronic
Electronic Anarchy|Electronic Anarchy
Electronica|Electronica
Electronica/Dance|Electronic;Electronica;Dance
Electronica & Dance|Electronic;Electronica;Dance
Electronica, Trip-Hop|Electronic;Electronica;Trip-Hop
Electropop|Electropop
Elektro|Electro
Eletronic|Electronic
English Rock|English Rock
Ethereal|Ethereal
Etherial|Ethereal
Ethnic|Ethnic
Euro-Disco|Euro-Disco
Euro-House|Euro-House
Euro House|Euro-House
Euro-Pop|Euro-Pop
Eurodance|Euro-Dance
Europop|Euro-Pop
Experimental|Experimental
Experimental, Ambient, Future Jazz, Minimal|Experimental;Ambient;Future Jazz;Minimal
Experimental Electronic|Experimental;Electronic
Experimental House|Experimental;House
Experimental Jazz|Experimental;Jazz
Experimental Rock|Experimental;Rock
Experimental Techno|Experimental;Techno
Field Recording|Field Recording
Flamenco|Flamenco
Folk|Folk
Folk Metal|Folk Metal
Folk Rock|Folk Rock
Folk/Rock|Folk Rock
Folk-Rock|Folk Rock
Folk, World, & Country|Folk, World, & Country
Folk, World & Country|Folk, World, & Country
Footwork|Footwork
Free Funk|Free Funk
Free Improvisation|Free Improvisation
Free Jazz|Free Jazz
Free-Jazz|Free Jazz
Freestyle|Freestyle
French House|French House
Funk|Funk
Funk Metal|Funk Metal
Funk/Soul|Funk / Soul
Funk / Soul|Funk / Soul
Nu-Disco|Nu-Disco
Funky|Funk
Fusion|Fusion
Future Jazz|Future Jazz
Gabba|Gabba
Gabber|Gabba
Gangsta|Gangsta
Garage|Garage
Garage House|Garage House
Garage Pop|Garage Pop
Garage Rock|Garage Rock
Garage Rock/Alternative|Garage Rock;Alternative
Ghetto|Ghetto
Ghetto House|Ghetto House
Glam|Glam
Glam Rock|Glam Rock
Glitch|Glitch
Glitch Hop|Glitch Hop
Goa|Goa;Trance
Goth|Goth
Goth Rock|Goth Rock
Goth Rock, New Wave|Goth Rock;New Wave
Gothic|Gothic
Gothic Rock|Gothic Rock
Grebo|Grebo
Grime|Grime
Grunge|Grunge
Gypsy Jazz|Gypsy Jazz
Happy Hardcore|Happy Hardcore
Hard Bop|Hard Bop
Hard House|Hard House
Hard Rock|Hard Rock
Hard Trance|Hard Trance
Hardcore|Hardcore
Hardcore Hip-Hop|Hardcore Hip-Hop
Hardrock|Hard Rock
Hardstyle|Hardstyle
Heavy Metal|Heavy Metal
Hi NRG|Hi-NRG
Hip Hop|Hip Hop;Hip-Hop
Hip-Hop|Hip Hop;Hip-Hop
Hip Hop, Pop|Hip Hop;Hip-Hop;Pop
Hip-Hop/Rap|Hip Hop;Hip-Hop;Rap
Hip-Hop, Trip-Hop|Hip Hop;Hip-Hop;Trip-Hop;Trip Hop
Hip-House|Hip-House
Hippie Rock|Hippie Rock
House|House
House Music|House
IDM|IDM
Illbient|Illbient
Impressionist|Impressionist
Indie|Indie
Indie Dance|Indie Dance
Indie Pop|Indie Pop
Indie-pop|Indie Pop
Indie-Pop|Indie Pop
Indie Rock|Indie Rock;Indie
Indie-Rock|Indie Rock;Indie
Indie Rock, Folk|Indie Rock;Folk
Indiepop|Indie Pop
Industrial|Industrial
INDUSTRIAL|Industrial
Industrial Metal|Industrial Metal
Industrial, Minimal Synth|Industrial;Minimal Synth
Industrial/Techno|Industrial;Techno
Instrumental|Instrumental
Instrumental Hip-Hop|Instrumental Hip-Hop
Instrumental Rock|Instrumental Rock
Irish Folk|Irish Folk
Italo-Disco|Italo-Disco
J-Pop|J-Pop
Jazz|Jazz
Jazz Blues|Jazz Blues
Jazz-Blues|Jazz Blues
Jazz/Blues/Folk|Jazz;Blues;Folk
Jazz Funk|Jazz Funk
Jazz-Funk|Jazz Funk
Jazz Rock|Jazz Rock
Jazz-Rock|Jazz Rock
Jazz Vocal|Jazz Vocal;Jazz;Vocal
Jazzy Hip-Hop|Jazzy Hip-Hop;Jazzy Hip Hop
Jazzy Hip Hop|Jazzy Hip-Hop;Jazzy Hip Hop
JPop|J-Pop
Juke|Juke
Jump Blues|Jump Blues
Jumpstyle|Jumpstyle
Jungle|Jungle
Kosmische|Kosmische;Krautrock
Krautrock|Krautrock
Latin|Latin
Latin Jazz|Latin Jazz
Leftfield|Leftfield
Lo-Fi|Lo-Fi
Lo Fi|Lo-Fi
Lounge|Lounge
Lovers Rock|Lovers Rock
Madchester|Madchester
Mambo|Mambo
Math Rock|Math Rock
Metal|Metal
Minimal|Minimal
Minimal House|Minimal House
Minimal Synth|Minimal Synth
Minimal Techno|Minimal Techno
Minimal Wave|Minimal Wave
Minimalism|Minimalism
Modal|Modal
